name,dedication,county,number_bells,lat,lng,first_visit,dove
Longstanton,All Saints,Cambridgeshire,8,52.2781033,0.0492078,,https://dove.cccbr.org.uk/tower/11562
Oakington,St Andrew,Cambridgeshire,6,52.2632296,0.0717343,20/05/2023,https://dove.cccbr.org.uk/tower/15878
Swavesey,St Andrew,Cambridgeshire,8,52.3056832,-0.0026871,02/07/2023,https://dove.cccbr.org.uk/tower/16854
Over,St Mary,Cambridgeshire,8,52.3178843,0.0120807,,https://dove.cccbr.org.uk/tower/10652
Willingham,St Mary and All Saints,Cambridgeshire,6,52.3146281,0.0593716,,https://dove.cccbr.org.uk/tower/16597
Great Gransden,St Bartholomew,Cambridgeshire,6,52.1841603,-0.1424074,16/07/2023,https://dove.cccbr.org.uk/tower/13807
Histon,St Andrew,Cambridgeshire,8,52.255324,0.1026405,,https://dove.cccbr.org.uk/tower/15629
Stretham,St James,Cambridgeshire,6,52.3486376,0.2190345,03/06/2023,https://dove.cccbr.org.uk/tower/13658
Cambridge,St Clement,Cambridgeshire,6,52.209135,0.118008,,https://dove.cccbr.org.uk/tower/17550
Cambridge,University Church of St Mary the Great,Cambridgeshire,12,52.2053154,0.1182291,,https://dove.cccbr.org.uk/tower/13748
Trumpington,St Mary and St Michael,Cambridgeshire,8,52.1739005,0.1084953,,https://dove.cccbr.org.uk/tower/10245
Cherry Hinton,St Andrew,Cambridgeshire,6,52.191932,0.1779159,,https://dove.cccbr.org.uk/tower/10473
Swaffham Prior,St Cyriac and St Julitta,Cambridgeshire,6,52.2509099,0.2957322,01/07/2024,https://dove.cccbr.org.uk/tower/11811
Sawston,St Mary,Cambridgeshire,8,52.12146,0.171513,,https://dove.cccbr.org.uk/tower/10013
Newmarket,St Mary the Virgin,Suffolk,6,52.244414,0.402367,12/10/2019,https://dove.cccbr.org.uk/detail.php?tower=12240
Barrow,All Saints,Suffolk,6,52.2515126,0.5774221,12/10/2019,https://dove.cccbr.org.uk/detail.php?tower=11780
Horringer,St Leonard,Suffolk,8,52.2261193,0.6717941,12/10/2019,https://dove.cccbr.org.uk/detail.php?tower=14771
Bury St Edmunds,Cathedral Church of St James and St Edmund,Suffolk,12,52.2438889,0.7172222,12/10/2019,https://dove.cccbr.org.uk/detail.php?tower=12587
Theydon Garnon,All Saints,Essex,6,51.673901,0.1271634,,https://dove.cccbr.org.uk/detail.php?tower=16160
South Benfleet,St Mary the Virgin,Essex,6,51.546137,0.5633732,,https://dove.cccbr.org.uk/detail.php?tower=14628
Leigh on Sea,St Clement,Essex,8,51.5413247,0.6542479,,https://dove.cccbr.org.uk/detail.php?tower=16803
Prittlewell,St Mary the Virgin,Essex,10,51.5490219,0.7055889,,https://dove.cccbr.org.uk/detail.php?tower=13422
Hemingford Grey,St James,Cambridgeshire,8,52.320742,-0.1052848,01/09/2023,https://dove.cccbr.org.uk/tower/12009
Bristol,Christ Church,Bristol,10,51.4551627,-2.592994,23/04/2022,https://dove.cccbr.org.uk/detail.php?tower=15455
Bristol,St John on the Wall,Bristol,6,51.4559872,-2.5950198,23/04/2022,https://dove.cccbr.org.uk/detail.php?tower=11615
