name,dedication,county,lat,lng,dove
Leicester,Cathedral Church of St Martin,Leicestershire,52.63474,-1.13703,https://dove.cccbr.org.uk/tower/12250
Leicester,St Margaret,Leicestershire,52.64026,-1.13653,https://dove.cccbr.org.uk/tower/10495
Leicester,St Mary de Castro,Leicestershire,52.63219,-1.14051,https://dove.cccbr.org.uk/tower/13828
Almondsbury,St Mary Virgin,Gloucestershire,51.55419,-2.57335,https://dove.cccbr.org.uk/tower/13610
Ewerby,St Andrew,Lincolnshire,53.01109,-0.32982,https://dove.cccbr.org.uk/tower/10801
Nottingham,St Mary Virgin,Nottinghamshire,52.95115,-1.14293,https://dove.cccbr.org.uk/tower/10637
Derby,St Luke,Derbyshire,52.95222,-1.1488,https://dove.cccbr.org.uk/tower/16699
Derby,Cathedral Church of All Saints,Derbyshire,52.92478,-1.47779,https://dove.cccbr.org.uk/tower/16607
Derby,St Peter,Derbyshire,52.92028,-1.4764,https://dove.cccbr.org.uk/tower/10354
Nottingham,St Peter,Nottinghamshire,52.95222,-1.1488,https://dove.cccbr.org.uk/tower/16058
Rainhill,St Ann,Merseyside,53.41575,-2.76408,https://dove.cccbr.org.uk/tower/11111
Alford,St Wilfrid,Lincolnshire,53.26164,0.18054,https://dove.cccbr.org.uk/tower/11928
Stapleford,St Helen,Nottinghamshire,52.93144,-1.27489,https://dove.cccbr.org.uk/tower/13959
Wollaton,St Leonard,Nottinghamshire,52.95288,-1.22031,https://dove.cccbr.org.uk/tower/12674
Bassingham,St Michael and All Angels,Lincolnshire,53.12703,-0.64464,https://dove.cccbr.org.uk/tower/15669
Legbourne,All Saints,Lincolnshire,53.33907,0.05236,https://dove.cccbr.org.uk/tower/10892
Leeds,Minster Church of St Peter,West Yorkshire,53.79532,-1.53601,https://dove.cccbr.org.uk/tower/13165
Backwell,St Andrew,Somerset,51.41171,-2.73039,https://dove.cccbr.org.uk/tower/11245
Axbridge,St John Baptist,Somerset,51.28773,-2.81653,https://dove.cccbr.org.uk/tower/16482
