name,place,county,lat,lng
The Regal,Cambridge,Cambridgeshire,52.20293397,0.123871096
The Crosse Keys,City of London,City of London,51.51273789,-0.084709255
The Pennsylvanian,Rickmansworth,Hertfordshire,51.63882515,-0.469832586
The Postern Gate,York,North Yorkshire,53.95452585,-1.077228918
The Goosebury Bush,Nottingham,Nottinghamshire,52.95963753,-1.15588576
The Last Post,Beeston,Nottinghamshire,52.92635545,-1.216709247
The Liquorice Gardens,Worksop,Nottinghamshire,53.30428679,-1.123651918
Lloyds No. 1 Bar,Nottingham,Nottinghamshire,52.95360252,-1.145174674
The Roebuck Inn,Nottingham,Nottinghamshire,52.95296152,-1.152295618
The Samuel Hall,Nottingham,Nottinghamshire,52.98140593,-1.146503858
The Lord Burton,Burton upon Trent,Staffordshire,52.80301143,-1.629543918
The Willow Tree,Stowmarket,Suffolk,52.18552715,0.999103426
The Moon Under Water,Watford,Hertfordshire,51.65645763,-0.397863018
The Romany Rye,Dereham,Norfolk,52.68097133,0.939329892
The Crown Hotel,Biggleswade,Bedfordshire,52.08693593,-0.264891404
The Standing Order,Derby,Derbyshire,52.92401466,-1.477608877
The Sir John Hawkshaw,City of London,City of London,51.51107899,-0.089956363
