Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2143.19,1990
2,2180,2216.84,2216.84,2358.22,2200.87
3,2430,2443.68,2443.68,2573.25,2411.74
4,2730,2670.53,2670.53,2788.29,2622.61
5,2980,2897.37,2897.37,3003.32,2833.47
6,3230,3124.21,3124.21,3218.35,3044.34
7,3410,3351.05,3351.05,3433.39,3255.21
8,3620,3577.89,3577.89,3648.42,3466.08
9,3840,3804.74,3804.74,3863.45,3676.95
10,4100,4031.58,4031.58,4078.48,3887.82
1,4410,4258.42,4258.42,4293.52,4098.68
2,4570,4485.26,4485.26,4508.55,4309.55
3,4790,4712.11,4712.11,4723.58,4520.42
4,5020,4938.95,4938.95,4938.61,4731.29
5,5170,5165.79,5165.79,5153.65,4942.16
6,5430,5392.63,5392.63,5368.68,5153.03
7,5630,5619.47,5619.47,5583.71,5363.9
8,5840,5846.32,5846.32,5798.75,5574.76
9,6050,6073.16,6073.16,6013.78,5785.63
10,6300,6300,6300,6228.81,5996.5
1,6780,6771.28,6765.57,6741.69,6418.24
2,6990,6983.05,6977.79,6956.72,6629.11
3,7200,7194.83,7190,7171.75,6839.98
4,7460,7406.6,7402.21,7386.79,7050.84
5,7630,7618.37,7614.43,7601.82,7261.71
6,7870,7830.15,7826.64,7816.85,7472.58
7,8040,8041.92,8038.85,8031.89,7683.45
8,8180,8253.7,8251.07,8246.92,7894.32
9,8410,8465.47,8463.28,8461.95,8105.19
10,8630,8677.25,8675.49,8676.98,8316.05
1,8900,8889.02,8887.71,8892.02,8526.92
2,9120,9100.8,9099.92,9107.05,8737.79
3,9330,9312.57,9312.13,9322.08,8948.66
4,9530,9524.34,9524.35,9537.11,9159.53
5,9750,9736.12,9736.56,9752.15,9370.4
6,9970,9947.89,9948.77,9967.18,9581.27
7,10160,10159.7,10161,10182.2,9792.13
8,10390,10371.4,10373.2,10397.2,10003
9,10570,10583.2,10585.4,10612.3,10213.9
10,10780,10795,10797.6,10827.3,10424.7
1,11220,11231.4,11222.1,11210.8,10846.5
2,11460,11439.4,11430.8,11420.7,11057.3
3,11630,11647.4,11639.6,11630.6,11268.2
4,11870,11855.4,11848.3,11840.5,11479.1
5,12060,12063.4,12057,12050.4,11690
6,12280,12271.4,12265.7,12260.4,11900.8
7,12460,12479.5,12474.4,12470.3,12111.7
8,12690,12687.5,12683.2,12680.2,12322.6
9,12870,12895.5,12891.9,12890.1,12533.4
10,13100,13103.5,13100.6,13100,12744.3
1,13290,13311.5,13309.3,13310,12955.2
2,13490,13519.5,13518,13519.9,13166
3,13740,13727.5,13726.8,13729.8,13376.9
4,13910,13935.5,13935.5,13939.7,13587.8
